Date,Product line,Quantity,Holiday,Crude_oil_Price,Gold_Price,Unnamed: 6,S&P_500_Price,Nasdaq_100_Price,sp&crudeoil,nasdaq&goldprice,conv
05-01-2019,Health and beauty,7,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
03-03-2019,Home and lifestyle,7,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
27-01-2019,Health and beauty,8,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
08-02-2019,Sports and travel,7,0,55.99,1317.78,,2707.88,6913.13,2763.87,8230.91,-5467.04
25-02-2019,Electronic accessories,6,0,55.48,1329.5,,2796.11,7115.43,2851.59,8444.93,-5593.34
10-01-2019,Health and beauty,2,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
12-02-2019,Electronic accessories,5,0,55.99,1317.78,,2744.73,7014.67,2800.72,8332.45,-5531.73
07-02-2019,Food and beverages,10,0,55.99,1317.78,,2706.05,6904.98,2762.04,8222.76,-5460.72
29-03-2019,Health and beauty,10,0,60.14,1298.5,,2834.4,7378.77,2894.54,8677.27,-5782.73
11-03-2019,Health and beauty,7,0,59.265,1301.04,,2783.3,7164.02,2842.565,8465.06,-5622.495
01-01-2019,Sports and travel,6,1,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
21-01-2019,Food and beverages,3,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
17-02-2019,Electronic accessories,5,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
02-03-2019,Sports and travel,3,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
22-03-2019,Home and lifestyle,8,0,59.04,1312.3,,2800.71,7326.06,2859.75,8638.36,-5778.61
10-03-2019,Fashion accessories,2,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
15-03-2019,Health and beauty,9,0,58.52,1302.9,,2822.48,7306.99,2881,8609.89,-5728.89
15-03-2019,Health and beauty,2,0,58.52,1302.9,,2822.48,7306.99,2881,8609.89,-5728.89
10-03-2019,Sports and travel,5,0,59.265,1301.04,,2804.3,7260.99,2863.565,8562.03,-5698.465
15-01-2019,Electronic accessories,9,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
10-02-2019,Food and beverages,5,0,55.99,1317.78,,5132.08,7031.04,5188.07,8348.82,-3160.75
27-03-2019,Home and lifestyle,2,0,59.41,1310.4,,2805.37,7308.19,2864.78,8618.59,-5753.81
07-02-2019,Health and beauty,8,0,55.99,1317.78,,2706.05,6904.98,2762.04,8222.76,-5460.72
20-01-2019,Home and lifestyle,10,0,56.99,1292.95,,2506.85,6902.13,2563.84,8195.08,-5631.24
06-03-2019,Sports and travel,10,0,59.265,1301.04,,2771.45,7112.47,2830.715,8413.51,-5582.795
13-03-2019,Health and beauty,10,0,58.26,1309.3,,2810.92,7256.98,2869.18,8566.28,-5697.1
